time_idx,timestamp,bus_id,route_no,stop_id,latitude,longitude,speed,distance_remaining,eta_minutes,active_buses_on_route,weather,day_of_week,time_sin,time_cos
7,2025-09-15T11:54:23.907Z,BUS202,15,68c7fc9096a1200ee2c7992f,16.499819,80.6729,81.02570540521907,1620.5141081043814,0.3333333333333333,2,clear,1,-0.9876883405951375,-0.156434465040231
8,2025-09-15T11:54:24.957Z,BUS202,15,68c7fc9096a1200ee2c7992f,16.49965305,80.67216,81.02573835935843,1539.4890288278102,0.3166666666666666,2,clear,1,-0.9876883405951375,-0.156434465040231
8,2025-09-15T11:54:26.004Z,BUS202,15,68c7fc9096a1200ee2c7992f,16.4994871,80.67142,81.0257713131054,1458.463883635897,0.3,2,clear,1,-0.9876883405951375,-0.156434465040231
8,2025-09-15T11:54:27.027Z,BUS202,15,68c7fc9096a1200ee2c7992f,16.49932115,80.67068,81.02580426661973,1377.4386725325355,0.2833333333333333,2,clear,1,-0.9876883405951375,-0.156434465040231
8,2025-09-15T11:54:27.873Z,BUS202,15,68c7fc9096a1200ee2c7992f,16.4991552,80.66994,81.02583721973238,1296.413395515718,0.2666666666666666,2,clear,1,-0.9876883405951375,-0.156434465040231
8,2025-09-15T11:54:28.874Z,BUS202,15,68c7fc9096a1200ee2c7992f,16.49898925,80.6692,81.02587017262262,1215.3880525893392,0.2499999999999999,2,clear,1,-0.9876883405951375,-0.156434465040231
8,2025-09-15T11:54:29.873Z,BUS202,15,68c7fc9096a1200ee2c7992f,16.498823299999998,80.66846,81.02590312509291,1134.3626437513008,0.2333333333333333,2,clear,1,-0.9876883405951375,-0.156434465040231
8,2025-09-15T11:54:30.877Z,BUS202,15,68c7fc9096a1200ee2c7992f,16.49865735,80.66772,81.02593607735973,1053.3371690056763,0.2166666666666666,2,clear,1,-0.9876883405951375,-0.156434465040231
8,2025-09-15T11:54:31.879Z,BUS202,15,68c7fc9096a1200ee2c7992f,16.4984914,80.66698,81.02596902919744,972.3116283503692,0.2,2,clear,1,-0.9876883405951375,-0.156434465040231
8,2025-09-15T11:54:32.893Z,BUS202,15,68c7fc9096a1200ee2c7992f,16.49832545,80.66624,81.02600198084299,891.2860217892729,0.1833333333333333,2,clear,1,-0.9876883405951375,-0.156434465040231
8,2025-09-15T11:54:34.073Z,BUS202,15,68c7fc9096a1200ee2c7992f,16.4981595,80.66550000000001,81.02603493218548,810.2603493218548,0.1666666666666666,2,clear,1,-0.9876883405951375,-0.156434465040231
8,2025-09-15T11:54:34.917Z,BUS202,15,68c7fc9096a1200ee2c7992f,16.49799355,80.66476,81.02606788306475,729.2346109475828,0.15,2,clear,1,-0.9876883405951375,-0.156434465040231
8,2025-09-15T11:54:35.969Z,BUS202,15,68c7fc9096a1200ee2c7992f,16.4978276,80.66402000000001,81.02610083379389,648.2088066703511,0.1333333333333333,2,clear,1,-0.9876883405951375,-0.156434465040231
8,2025-09-15T11:54:36.591Z,BUS101,14,68c7fc9096a1200ee2c79927,16.511,80.7464,329.4895638061439,6589.791276122878,0.3333333333333333,2,clear,1,-0.9876883405951375,-0.156434465040231
8,2025-09-15T11:54:37.014Z,BUS202,15,68c7fc9096a1200ee2c7992f,16.49766165,80.66328,81.02613378402167,567.1829364881517,0.1166666666666666,2,clear,1,-0.9876883405951375,-0.156434465040231
8,2025-09-15T11:54:37.594Z,BUS101,14,68c7fc9096a1200ee2c79927,16.509245,80.74391,329.49053425919845,6260.320150924771,0.3166666666666666,2,clear,1,-0.9876883405951375,-0.156434465040231
8,2025-09-15T11:54:37.883Z,BUS202,15,68c7fc9096a1200ee2c7992f,16.4974957,80.66254,81.0261667341464,486.1570004048784,0.1,2,clear,1,-0.9876883405951375,-0.156434465040231
8,2025-09-15T11:54:38.594Z,BUS101,14,68c7fc9096a1200ee2c79927,16.50749,80.74141999999999,329.4915046396962,5930.847083514532,0.3,2,clear,1,-0.9876883405951375,-0.156434465040231
8,2025-09-15T11:54:39.637Z,BUS101,14,68c7fc9096a1200ee2c79927,16.505734999999998,80.73893,329.4924749477568,5601.372074111865,0.2833333333333333,2,clear,1,-0.9876883405951375,-0.156434465040231
8,2025-09-15T11:54:40.162Z,BUS302,16,68c7fc9096a1200ee2c79937,16.5385,80.7771,550.0917669364709,11001.835338729416,0.3333333333333333,2,clear,1,-0.9876883405951375,-0.156434465040231
